teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	previousyeartableposition	highestpossible	teamform	highestprobable	artificialkey	nummatchesplayed	teamid	gapresult	grouping	currenttableposition	objective	actualvsexpectations	unbeatenhome	lastgameresult	unbeatenaway	teamlongform
33	0	0	0	0	0	1	1	9	0	20011	5	0	7	269	2	5	10	10	4	0	1	0	23
6	0	0	0	0	0	1	1	8	0	1	5	1	7	270	2	5	11	5	2	0	1	0	19
40	0	0	0	0	0	1	1	5	0	2002	3	2	7	271	1	3	7	3	1	0	0	0	38
66	0	0	0	0	0	1	1	10	0	12220	10	3	7	272	1	10	4	10	1	0	2	1	61
86	0	0	1	1	0	1	1	2	0	22212	0	4	7	819	1	0	1	0	1	1	0	1	80
66	0	0	0	0	0	1	1	7	0	1222	10	5	7	820	1	10	3	3	0	1	0	0	66
13	0	1	0	0	0	1	1	12	0	11	5	6	7	1445	2	5	12	5	2	0	1	0	14
33	0	0	0	0	0	1	1	4	0	12010	3	7	7	1446	1	3	9	3	1	0	2	1	38
40	0	0	0	0	0	1	1	6	0	20200	8	8	7	1447	1	8	6	3	0	0	2	0	47
33	0	0	0	0	0	1	1	3	0	12001	3	9	7	1516	1	3	8	3	1	1	1	0	38
60	0	0	0	0	0	1	1	13	0	20220	8	10	7	1786	1	8	5	5	0	0	2	0	57
73	0	0	0	0	1	1	1	1	0	11222	10	11	7	1788	2	10	2	0	2	1	0	0	66
73	0	0	1	1	1	4	4	1	0	12221	10	12	5	229	2	10	2	0	2	1	1	1	73
86	0	0	0	1	0	4	4	2	0	22122	0	13	5	231	1	0	1	0	1	1	0	1	86
66	0	0	0	0	0	4	4	4	0	1222	10	14	5	232	1	10	3	10	1	0	0	1	66
40	0	0	0	0	0	4	4	12	0	1112	3	15	5	239	1	3	9	3	1	1	0	0	40
20	0	0	0	0	0	4	4	15	0	200	5	16	5	670	1	5	14	5	1	0	2	0	20
60	0	0	0	1	0	4	4	5	0	11212	8	17	5	673	2	8	6	10	2	1	0	1	60
66	0	0	0	0	0	4	4	3	0	20122	10	18	5	674	1	10	4	10	1	1	0	0	66
26	0	0	0	0	0	4	4	11	0	102	5	19	5	675	2	5	13	8	3	0	0	0	26
33	0	0	0	0	0	4	4	10	0	21100	3	20	5	1747	1	3	12	3	1	0	2	0	33
6	0	1	0	0	0	4	4	7	0	10000	5	21	5	1750	2	5	16	3	3	0	2	0	6
46	0	0	0	0	0	4	4	8	0	21020	8	22	5	2007	1	8	7	8	1	1	2	0	46
66	0	0	0	0	0	4	4	13	0	22120	10	23	5	15005	1	10	5	3	0	1	2	0	66
46	0	0	0	0	0	4	4	6	0	12002	3	24	5	100081	1	3	8	8	2	0	0	0	46
40	0	0	0	0	0	4	4	14	0	1121	3	25	5	100087	1	3	10	5	0	1	1	0	40
33	0	0	0	0	0	4	4	9	0	21100	3	26	5	110724	2	3	11	8	2	1	2	0	33
6	0	1	0	0	0	4	4	16	0	1000	5	27	5	110913	2	5	15	5	2	0	2	0	6
40	0	0	0	0	0	7	7	11	0	20200	5	28	19	383	2	5	17	3	3	0	2	0	33
33	0	0	0	0	0	7	7	9	0	1201	8	29	19	517	1	8	7	8	1	0	1	0	40
86	0	0	0	0	0	7	7	3	0	22122	9	30	19	567	2	9	2	0	2	1	0	0	76
33	0	0	0	0	0	7	7	16	0	2101	3	31	19	568	2	3	8	9	3	0	1	0	46
26	0	0	0	0	0	7	7	2	0	20100	9	32	19	569	2	9	4	0	2	0	2	0	50
40	0	0	0	0	0	7	7	6	0	22	8	33	19	598	1	8	5	3	0	0	0	0	50
73	0	0	0	0	0	7	7	15	0	22121	0	34	18	1035	0	0	1	8	0	1	1	0	80
46	0	0	0	0	1	7	7	1	0	12200	3	35	19	1041	3	3	12	0	4	0	2	0	53
66	0	0	0	0	0	7	7	4	0	22021	3	36	18	1043	3	3	9	0	4	0	1	0	46
33	0	0	0	0	0	7	7	5	0	12010	8	37	19	1048	2	8	6	9	2	0	2	0	50
86	0	0	0	0	0	7	7	10	0	21222	3	38	19	1053	1	3	10	3	1	1	0	0	56
33	0	0	0	0	0	7	7	14	0	10201	5	39	19	1598	1	5	16	5	1	0	1	0	33
66	0	0	0	0	0	7	7	12	0	12022	9	40	19	1629	1	9	3	8	0	0	0	0	73
26	0	0	0	0	0	7	7	19	0	10002	3	41	19	111043	1	3	13	5	0	0	0	0	26
26	0	0	0	0	0	7	7	8	0	120	5	42	19	111044	2	5	15	3	2	0	2	0	40
40	0	0	0	0	0	7	7	7	0	2002	5	43	19	111045	2	5	20	3	3	0	0	0	20
53	0	0	0	0	0	7	7	18	0	10221	3	44	19	111050	1	3	11	5	0	0	1	0	46
6	0	0	0	0	0	7	7	20	0	1	5	45	19	111057	2	5	19	5	2	0	1	0	10
40	0	0	0	0	0	7	7	17	0	11210	3	46	19	111292	1	3	14	5	0	0	2	0	46
46	0	0	0	0	0	7	7	13	0	11121	5	47	19	112119	2	5	18	5	2	0	1	0	46
77	0	0	1	1	1	10	10	1	0	122	10	48	3	245	2	10	2	0	2	1	0	1	77
77	0	0	0	1	0	10	10	2	0	212	8	49	3	246	1	8	5	10	2	1	0	1	77
66	0	0	0	0	0	10	10	3	0	22	8	50	3	247	2	8	6	0	3	1	0	0	66
55	0	0	1	1	0	10	10	15	0	112	8	51	3	650	1	8	7	3	0	1	0	1	55
11	0	1	0	0	0	10	10	10	0	100	5	52	3	1902	2	5	18	3	3	1	2	0	11
44	0	0	0	0	0	10	10	11	0	21	3	53	3	1903	1	3	9	3	1	0	1	1	44
11	0	1	0	0	0	10	10	13	0	100	5	54	3	1904	2	5	17	3	3	0	2	0	11
77	0	0	1	1	0	10	10	9	0	212	10	55	3	1905	1	10	4	5	0	1	0	1	77
55	0	0	0	1	0	10	10	4	0	121	8	56	3	1906	2	8	8	10	2	1	1	1	55
22	0	1	0	0	0	10	10	18	0	110	3	57	3	1907	1	3	12	5	0	0	2	1	22
100	0	0	0	1	0	10	10	6	0	222	0	58	3	1908	1	0	1	10	0	1	0	1	100
77	0	0	0	1	0	10	10	7	0	122	10	59	3	1909	1	10	3	10	1	1	0	1	77
33	0	0	0	0	0	10	10	8	0	200	3	60	3	1910	1	3	10	3	1	0	2	1	33
22	0	1	0	0	0	10	10	5	0	11	3	61	3	1913	2	3	13	8	2	0	1	1	22
22	0	1	0	0	0	10	10	17	0	101	3	62	3	1914	1	3	11	5	0	0	1	1	22
11	0	1	0	0	0	10	10	14	0	10	5	63	3	1915	2	5	16	8	4	0	2	0	11
11	0	1	0	0	0	10	10	12	0	100	5	64	3	100634	2	5	14	8	3	0	2	0	11
11	0	1	0	0	0	10	10	16	0	100	5	65	3	100651	1	5	15	5	1	0	2	1	11
33	0	1	1	1	0	13	13	3	0	11	3	66	2	1	2	3	12	1	3	1	1	1	33
0	0	1	0	0	0	13	13	16	0	0	4	67	2	2	2	4	20	3	3	0	2	0	0
100	0	0	0	1	0	13	13	6	0	222	0	68	3	5	1	0	1	0	1	1	0	1	100
100	0	0	1	1	0	13	13	7	0	22	1	69	2	7	1	1	3	3	0	1	0	1	100
16	0	1	0	0	0	13	13	8	0	1	5	70	2	9	2	5	16	2	3	1	1	0	16
66	0	0	1	1	1	13	13	1	0	21	2	71	2	10	2	2	5	0	3	1	1	1	66
50	0	0	0	0	0	13	13	2	0	2	3	72	2	11	2	3	7	0	4	1	0	0	50
50	0	0	0	0	0	13	13	5	0	20	3	73	2	13	2	3	9	2	2	1	2	0	50
16	0	1	0	0	0	13	13	17	0	1	4	74	2	15	1	4	18	3	3	0	1	1	16
0	0	1	0	0	0	13	14	2	0	0	4	75	2	17	1	4	19	4	2	0	2	0	0
16	0	1	0	0	0	13	13	4	0	1	3	76	2	18	2	3	14	1	3	1	1	0	16
50	0	0	0	0	0	13	14	3	0	20	3	77	2	19	1	3	10	4	0	1	2	0	50
33	0	1	1	1	0	13	13	13	0	1	3	78	1	106	1	3	13	3	1	1	1	1	33
66	0	0	1	1	0	13	13	10	0	21	1	79	2	109	1	1	4	3	0	1	1	1	66
50	0	0	0	0	0	13	13	9	0	20	3	80	2	144	1	3	6	3	1	1	2	0	50
16	0	1	0	0	0	13	13	12	0	1	5	81	2	1792	1	5	17	4	1	1	1	0	16
16	0	1	0	0	1	13	14	1	0	10	5	82	2	1793	1	5	15	4	1	1	2	0	16
33	0	1	0	1	0	13	13	14	0	11	3	83	2	1806	1	3	11	3	1	1	1	1	33
50	0	0	0	0	0	13	13	15	0	2	3	84	2	1917	1	3	8	4	0	0	0	1	50
100	0	0	1	1	0	13	13	11	0	22	1	85	2	1960	1	1	2	4	0	1	0	1	100
77	0	0	0	1	0	14	13	19	6	122	7	86	3	3	1	7	3	6	2	1	0	1	77
44	0	0	0	0	0	14	13	18	6	21	3	87	3	4	2	3	13	6	4	1	1	0	44
66	0	0	0	0	0	14	14	14	6	202	8	88	3	8	1	8	7	7	2	1	0	0	66
66	0	0	0	0	0	14	14	7	6	22	7	89	3	12	1	7	6	8	0	1	0	0	66
55	0	0	0	1	0	14	14	19	6	211	8	90	3	14	2	8	8	7	2	1	1	1	55
11	0	1	0	0	0	14	14	4	6	100	4	91	3	88	2	4	22	7	4	1	2	0	11
55	0	0	0	1	1	14	60	1	6	121	8	92	3	89	1	8	9	3	0	1	1	1	55
22	0	1	0	0	0	14	14	12	6	101	5	93	3	91	2	5	21	3	2	1	1	0	22
44	0	0	0	0	0	14	14	15	6	120	3	94	3	94	1	3	16	3	1	1	2	0	44
33	0	0	0	0	0	14	14	9	6	200	3	95	3	95	2	3	17	6	4	1	2	0	33
33	0	0	0	0	0	14	14	16	6	20	5	96	3	97	1	5	19	4	1	0	2	0	33
44	0	0	0	0	0	14	13	20	6	21	3	97	3	110	2	3	11	6	4	1	1	0	44
66	0	0	0	0	0	14	14	11	6	202	7	98	3	1795	1	7	5	3	0	0	0	1	66
33	0	0	0	0	0	14	14	13	6	200	3	99	3	1796	1	3	18	3	1	1	2	0	33
0	0	1	0	0	0	14	14	17	6	0	4	100	3	1799	2	4	24	3	3	0	2	0	0
77	0	0	1	1	0	14	60	2	6	122	6	101	3	1807	1	6	2	3	0	1	0	1	77
44	0	0	0	0	0	14	14	10	6	12	3	102	3	1808	2	3	10	8	2	1	0	0	44
66	0	0	0	0	0	14	14	20	6	22	7	103	3	1919	1	7	4	4	0	1	0	0	66
100	0	0	0	1	0	14	14	5	6	222	6	104	3	1926	1	6	1	7	0	1	0	1	100
33	0	0	0	0	0	14	14	21	6	200	5	105	3	1932	1	5	20	4	1	1	2	0	33
0	0	1	0	0	0	14	14	18	6	0	4	106	3	1938	1	4	23	4	2	0	2	0	0
44	0	0	0	0	0	14	60	4	6	12	3	107	3	1939	1	3	12	3	1	1	0	0	44
44	0	0	0	0	0	14	14	8	6	201	3	108	3	1952	2	3	14	8	2	1	1	0	44
44	0	0	0	0	0	14	14	6	6	210	3	109	3	1961	2	3	15	6	4	1	2	0	44
66	0	0	0	0	1	16	17	1	0	220	3	110	3	58	1	3	6	4	0	1	2	0	66
77	0	0	1	1	0	16	16	5	0	221	2	111	3	59	1	2	4	2	1	1	1	1	77
55	0	0	0	1	0	16	16	3	0	211	3	112	3	65	2	3	8	0	4	1	1	1	55
77	0	0	1	1	0	16	16	4	0	221	1	113	3	66	2	1	2	0	2	1	1	1	77
11	0	1	0	0	1	16	16	1	0	100	4	114	3	70	2	4	18	1	4	0	2	0	11
22	0	1	0	0	0	16	16	13	0	11	5	115	3	72	2	5	15	3	2	0	1	1	22
33	0	1	1	1	0	16	16	2	0	111	3	116	3	73	2	3	11	0	4	1	1	1	33
33	0	0	0	0	0	16	16	6	0	2	3	117	3	74	2	3	12	2	2	0	0	0	33
55	0	0	1	1	0	16	16	17	0	121	3	118	3	217	1	3	7	3	1	1	1	1	55
100	0	0	1	1	0	16	16	10	0	222	0	119	3	219	1	0	1	1	0	1	0	1	100
0	0	1	0	0	0	16	16	14	0	0	4	120	3	226	2	4	20	3	3	0	2	0	0
11	0	1	0	0	0	16	17	3	0	1	4	121	3	294	1	4	19	4	2	0	1	0	11
33	0	0	0	0	0	16	16	15	0	20	5	122	3	378	1	3	14	4	0	1	2	0	33
33	0	0	0	0	0	16	17	2	0	2	3	123	3	379	1	3	13	4	0	0	0	0	33
44	0	0	0	0	0	16	16	16	0	210	3	124	3	614	1	5	16	4	1	1	2	0	44
77	0	0	1	1	0	16	16	8	0	122	3	125	3	1809	1	3	5	2	2	1	0	1	77
33	0	0	0	0	0	16	16	7	0	2	3	126	3	1819	2	3	10	1	3	0	0	0	33
44	0	0	0	0	0	16	16	11	0	210	3	127	3	1823	1	3	9	3	1	0	2	1	44
77	0	0	1	1	0	16	16	12	0	212	1	128	3	110456	1	1	3	3	0	1	0	1	77
11	0	1	0	0	0	16	16	9	0	1	5	129	3	111271	2	5	17	3	2	0	1	0	11
60	0	0	0	0	0	17	16	20	6	20202	7	130	5	57	2	7	6	6	2	1	0	0	60
33	0	0	0	0	0	17	17	7	6	1201	3	131	5	62	1	3	13	3	1	0	1	0	33
46	0	0	0	1	0	17	17	12	6	11211	3	132	5	64	1	3	9	3	1	1	1	1	46
86	0	0	1	1	0	17	17	8	6	21222	6	133	5	69	1	6	1	6	1	1	0	1	86
73	0	0	0	1	0	17	17	9	6	11222	6	134	5	71	1	6	2	7	0	1	0	1	73
66	0	0	0	0	0	17	16	18	6	12022	7	135	5	210	2	7	4	6	2	1	0	0	66
60	0	0	0	1	0	17	17	14	6	11212	7	136	5	212	1	7	5	3	0	1	0	1	60
26	0	0	0	0	0	17	17	1	6	1020	5	137	5	224	1	5	17	5	1	0	2	0	26
26	0	0	0	0	0	17	17	4	6	1002	5	138	5	613	2	5	15	8	3	0	0	0	26
40	0	0	0	0	0	17	17	11	6	22000	3	139	5	1530	2	3	11	7	3	0	2	0	40
33	0	0	0	0	0	17	17	15	6	1021	3	140	5	1738	2	3	12	8	2	0	1	0	33
26	0	0	0	0	0	17	17	17	6	10020	5	141	5	1739	2	5	16	3	2	0	2	0	26
40	0	0	0	0	0	17	17	2	6	11201	3	142	5	1813	1	3	10	5	0	1	1	0	40
33	0	0	0	0	0	17	17	16	6	11020	3	143	5	1814	1	3	14	3	1	1	2	0	33
26	0	0	0	0	0	17	17	5	6	10200	5	144	5	1815	2	5	18	3	3	0	2	0	26
53	0	0	0	0	0	17	17	10	6	12012	8	145	5	1820	1	8	7	8	1	1	0	0	53
20	0	1	0	0	0	17	17	3	6	10101	5	146	5	110316	2	5	19	5	2	1	1	0	20
6	0	1	0	0	0	17	17	6	6	1000	5	147	5	110326	2	5	20	3	3	0	2	0	6
73	0	0	1	1	0	17	16	19	6	22211	6	148	5	110569	1	6	3	7	0	1	1	1	73
53	0	0	0	0	0	17	17	13	6	21120	8	149	5	111989	1	8	8	8	1	1	2	0	53
100	0	0	1	1	0	19	19	2	0	2	0	150	1	21	1	0	1	0	1	1	0	1	100
100	0	0	0	1	1	19	19	1	0	2	1	151	1	22	1	1	3	0	2	1	0	1	100
100	0	0	0	1	0	19	19	4	0	2	1	152	1	23	1	1	3	2	0	1	0	1	100
33	0	1	1	1	0	19	19	12	0	1	3	153	1	25	1	3	10	4	0	1	1	1	33
0	0	1	0	0	0	19	19	15	0	0	5	154	1	28	1	5	15	3	2	0	2	1	0
0	0	1	0	0	0	19	19	5	0	0	3	155	1	32	2	3	12	1	3	1	2	0	0
33	0	1	1	1	0	19	19	3	0	1	3	156	1	34	2	3	8	1	3	1	1	1	33
0	0	1	0	0	0	19	19	6	0	0	4	157	1	36	2	5	15	2	3	0	2	1	0
0	0	1	0	0	0	19	19	9	0	0	3	158	1	38	2	3	12	2	2	1	2	0	0
0	0	1	0	0	1	19	20	1	0	0	4	159	1	165	1	4	18	4	2	0	2	1	0
33	0	1	1	1	0	19	19	13	0	1	3	160	1	169	1	3	10	3	1	1	1	1	33
100	0	0	0	1	0	19	19	10	0	2	2	161	1	171	1	2	6	3	0	1	0	1	100
100	0	0	1	1	0	19	19	8	0	2	3	162	1	175	1	2	6	1	2	1	0	1	100
33	0	1	1	1	0	19	19	7	0	1	3	163	1	485	2	3	8	2	2	1	1	1	33
100	0	0	0	1	0	19	20	2	0	2	2	164	1	1824	1	1	3	3	0	1	0	1	100
0	0	1	0	0	0	19	19	11	0	0	5	165	1	10029	2	3	12	2	2	1	2	0	0
0	0	1	0	0	0	19	19	14	0	0	4	166	1	100409	1	4	17	4	2	0	2	1	0
100	0	0	1	1	0	19	20	3	0	2	1	167	1	110636	1	1	2	4	0	1	0	1	100
55	0	0	1	1	0	20	19	18	6	121	8	168	3	29	2	8	6	6	3	1	1	1	55
11	0	1	0	0	0	20	19	17	6	10	5	169	3	31	2	5	17	7	4	1	2	0	11
55	0	0	1	1	0	20	20	6	6	211	3	170	3	33	2	3	7	6	4	1	1	1	55
33	0	0	0	0	0	20	20	11	6	200	3	171	3	160	2	3	13	8	2	0	2	0	33
77	0	0	0	1	0	20	20	14	6	122	6	172	3	162	1	6	2	8	0	1	0	1	77
44	0	0	0	0	0	20	19	16	6	102	3	173	3	166	2	3	10	6	4	1	0	0	44
44	0	0	0	0	0	20	20	9	6	12	3	174	3	503	1	3	9	3	1	1	0	0	44
44	0	0	0	0	0	20	20	15	6	102	3	175	3	506	1	3	11	3	1	1	0	0	44
33	0	0	0	0	0	20	20	3	6	20	3	176	3	543	1	3	12	5	0	1	2	0	33
66	0	0	0	0	0	20	20	2	6	202	8	177	3	550	1	8	4	5	0	0	0	1	66
0	0	1	0	0	0	20	20	10	6	0	5	178	3	1825	2	5	18	3	3	0	2	0	0
11	0	1	0	0	0	20	20	7	6	100	5	179	3	1831	2	5	16	8	4	0	2	0	11
44	0	0	0	0	0	20	20	5	6	120	3	180	3	10030	1	3	8	3	1	1	2	0	44
55	0	0	1	1	1	20	20	1	6	112	8	181	3	110178	1	8	5	5	0	1	0	1	55
22	0	1	0	0	0	20	20	4	6	110	5	182	3	110329	2	5	15	7	4	1	2	0	22
100	0	0	1	1	0	20	20	8	6	222	6	183	3	110500	1	6	1	3	0	1	0	1	100
77	0	0	1	1	0	20	20	13	6	122	7	184	3	110596	1	7	3	5	0	1	0	1	77
22	0	1	0	0	0	20	20	12	6	110	5	185	3	111239	2	5	14	8	3	0	2	1	22
0	0	1	0	0	0	31	31	12	0	0	4	186	1	39	1	4	19	3	3	0	2	1	0
100	0	0	1	1	0	31	31	6	0	2	0	187	1	44	1	0	1	0	1	1	0	1	100
100	0	0	1	1	1	31	31	1	0	2	1	188	1	45	1	1	3	0	2	1	0	1	100
100	0	0	1	1	0	31	31	4	0	2	3	189	1	46	1	3	7	1	3	1	0	1	100
0	0	1	0	0	0	31	31	2	0	0	3	190	1	47	2	3	13	1	3	0	2	1	0
100	0	0	0	1	0	31	31	5	0	2	1	191	1	48	1	0	1	1	0	1	0	1	100
0	0	1	0	0	0	31	31	8	0	0	5	192	1	50	1	3	14	3	1	1	2	0	0
33	0	1	1	1	0	31	31	7	0	1	3	193	1	52	2	3	9	1	3	1	1	1	33
33	0	1	1	1	0	31	32	2	0	1	3	194	1	54	1	3	11	4	0	1	1	1	33
0	0	1	0	0	0	31	31	3	0	0	3	195	1	55	0	3	12	2	2	1	2	0	0
0	0	1	0	0	0	31	31	9	0	0	5	196	1	189	1	3	14	3	1	1	2	0	0
100	0	0	1	1	0	31	31	10	0	2	2	197	1	192	1	1	3	3	0	1	0	1	100
0	0	1	0	0	1	31	32	1	0	0	4	198	1	200	2	5	17	4	1	0	2	1	0
100	0	0	1	1	0	31	32	6	0	2	3	199	1	1837	1	3	8	4	0	1	0	1	100
33	0	1	1	1	0	31	31	14	0	1	3	200	1	1838	1	4	20	3	3	1	1	1	33
0	0	1	0	0	0	31	31	15	0	0	5	201	1	1842	2	3	14	4	0	1	2	0	0
0	0	1	0	0	0	31	31	16	0	0	4	202	1	1843	2	5	17	4	1	0	2	1	0
