leaguegoals	isamongtopscorers	yellows	isamongtopscorersinteam	jerseynumber	position	artificialkey	teamid	injury	leagueappearances	prevform	istopscorer	playerid	form	reds
0	0	0	0	1	0	0	269	0	7	3	0	163135	3	0
0	0	2	0	2	3	1	269	0	7	3	0	172549	3	0
1	0	4	1	7	4	2	269	0	6	3	0	152894	3	0
0	0	0	0	4	6	3	269	0	5	3	0	191082	3	0
0	0	1	0	19	7	4	269	0	5	3	0	204186	3	0
0	0	3	0	39	9	5	269	0	7	3	0	204187	3	0
0	0	4	0	26	11	6	269	0	7	3	0	172517	3	0
0	0	3	0	17	12	7	269	0	6	3	0	193133	3	0
0	0	0	0	34	16	8	269	0	0	3	0	203938	3	0
0	0	0	0	15	18	9	269	0	5	3	0	121568	3	0
2	0	1	1	9	25	10	269	0	7	3	0	197981	3	0
0	0	0	0	40	28	11	269	0	0	3	0	202673	3	0
1	0	0	1	22	28	12	269	0	5	3	0	204185	3	0
0	0	1	0	27	28	13	269	0	4	3	0	45541	3	0
0	0	0	0	32	28	14	269	0	0	3	0	198761	3	0
0	0	1	0	31	28	15	269	0	2	3	0	210713	3	0
0	0	0	0	11	28	16	269	0	4	3	0	8040	3	0
0	0	1	0	14	28	17	269	0	7	3	0	202034	3	0
0	0	0	0	10	28	18	269	0	0	3	0	169537	3	0
0	0	0	0	28	28	19	269	0	0	3	0	210714	3	0
0	0	0	0	30	28	20	269	0	0	3	0	210715	3	0
0	0	0	0	5	28	21	269	0	0	3	0	22151	3	0
0	0	0	0	21	28	22	269	0	0	3	0	210712	3	0
0	0	0	0	33	29	23	269	0	1	3	0	211385	3	0
1	0	1	1	20	29	24	269	0	4	3	0	193706	3	0
0	0	0	0	1	0	25	270	0	7	3	0	162889	3	0
0	0	4	0	14	3	26	270	0	7	3	0	142266	3	0
0	0	0	0	26	4	27	270	0	4	3	0	179666	3	0
0	0	0	0	4	6	28	270	0	6	3	0	193594	3	0
0	0	2	0	15	7	29	270	0	6	3	0	205072	3	0
0	0	4	0	2	10	30	270	0	7	3	0	46829	3	0
2	0	2	1	21	12	31	270	0	7	3	0	138729	3	0
0	0	0	0	5	16	32	270	0	4	3	0	151764	3	0
0	0	1	0	7	18	33	270	0	6	3	0	172035	3	0
1	0	1	1	10	24	34	270	0	7	3	0	52975	3	0
0	0	0	0	19	26	35	270	0	4	3	0	6380	3	0
0	0	0	0	16	28	36	270	0	0	3	0	177490	3	0
0	0	1	0	25	28	37	270	0	5	3	0	205074	3	0
0	0	0	0	23	28	38	270	0	1	3	0	205932	3	0
0	0	0	0	22	28	39	270	0	1	3	0	193136	3	0
0	0	2	0	20	28	40	270	0	7	3	0	151101	3	0
6	1	1	1	9	28	41	270	0	6	3	0	190724	3	0
0	0	0	0	11	28	42	270	0	7	3	0	186924	3	0
0	0	0	0	13	28	43	270	0	0	3	0	205071	3	0
0	0	0	0	8	28	44	270	0	2	3	0	158879	3	0
0	0	0	0	18	28	45	270	0	0	3	0	210627	3	0
0	0	0	0	17	28	46	270	0	0	3	0	210650	3	0
0	0	0	0	32	28	47	270	0	0	3	0	210651	3	0
0	0	0	0	24	29	48	270	0	0	3	0	203373	3	0
0	0	0	0	33	29	49	270	0	0	3	0	211105	3	0
0	0	0	0	1	0	50	271	0	7	3	0	120280	3	0
0	0	0	0	18	3	51	271	0	2	3	0	181380	3	0
